xcentroid of laser,ycentroid of laser,left speck x,left speck y,right speck x,right speck y,fishtail inner x,fishtail inner y,fishtail outer x,fishtail outer y,Real Elapsed Time (Seconds)
576,335,422,131,649,99,543,313,550,265,0
594,340,423,138,650,104,549,317,550,266,0.008333333
582,334,427,141,654,109,551,312,555,265,0.091666667
576,339,433,134,660,111,556,312,562,265,0.175
576,339,434,146,662,113,559,311,567,261,0.258333333
576,339,434,146,662,113,562,305,568,258,0.508333333
576,339,434,146,662,113,562,306,567,259,0.591666667
576,339,434,146,662,113,563,305,567,257,0.675
576,339,434,146,662,113,563,305,567,258,0.758333333
576,339,434,149,661,115,565,305,564,256,0.920833333
574,339,434,148,662,117,563,306,562,258,1.004166667
589,351,426,152,653,120,558,311,557,263,1.0875
583,343,423,158,652,124,559,311,558,264,1.170833333
582,338,423,162,650,129,557,314,561,264,1.254166667
582,338,422,165,649,133,555,311,561,263,1.341666667
582,338,417,168,645,136,553,313,558,262,1.425
576,342,411,172,638,139,548,310,553,263,1.591666667
580,343,406,173,633,142,543,310,547,262,1.675
580,343,402,175,629,143,539,310,546,262,1.758333333
579,346,399,174,626,142,537,303,543,257,1.841666667
564,337,401,175,628,142,538,305,545,256,1.925
574,335,402,175,627,142,539,301,545,253,2.008333333
581,340,402,174,629,142,542,302,545,254,2.091666667
580,334,400,174,627,143,539,302,542,253,2.258333333
576,346,397,177,625,144,535,304,538,256,2.3375
576,352,393,185,620,151,533,313,532,261,2.420833333
576,352,388,191,615,157,528,315,528,267,2.504166667
581,352,384,194,612,161,523,316,524,266,2.5875
584,355,382,196,607,166,518,313,522,263,2.670833333
587,354,380,199,606,167,516,313,518,264,2.758333333
577,351,375,201,602,169,514,310,516,263,2.8375
580,358,372,207,599,171,510,312,514,263,2.925
580,358,372,206,599,175,510,309,516,261,3.008333333
