"Distance [mm]","Voltage [V]","MagE [V_per_meter]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []"
0,100,645.952810159845,-0.001,0,0.01,0,0,-1
0.0216,99.986047317023,645.953061593357,-0.001,0,0.0099784,0,0,-1
0.0432,99.972094634046,645.953307049844,-0.001,0,0.0099568,0,0,-1
0.0648,99.9581419510691,645.953546529275,-0.001,0,0.0099352,0,0,-1
0.0864,99.9441892680921,645.953780031614,-0.001,0,0.0099136,0,0,-1
0.108,99.9302365851152,645.954007556826,-0.001,0,0.009892,0,0,-1
0.1296,99.9162839021381,645.954229104878,-0.001,0,0.0098704,0,0,-1
0.1512,99.9023312191612,645.954444675739,-0.001,0,0.0098488,0,0,-1
0.1728,99.8883785361842,645.954654269375,-0.001,0,0.0098272,0,0,-1
0.1944,99.8744258532073,645.954857885754,-0.001,0,0.0098056,0,0,-1
0.216,99.8604731702303,645.955055524842,-0.001,0,0.009784,0,0,-1
0.2376,99.8465204872533,645.955247186612,-0.001,0,0.0097624,0,0,-1
0.2592,99.8325678042763,645.95543287103,-0.001,0,0.0097408,0,0,-1
0.2808,99.8186151212993,645.955612578067,-0.001,0,0.0097192,0,0,-1
0.3024,99.8046624383224,645.955786307694,-0.001,0,0.0096976,0,0,-1
0.324,99.7907097553454,645.955954059879,-0.001,0,0.009676,0,0,-1
0.3456,99.7767570723684,645.956115834595,-0.001,0,0.0096544,0,0,-1
0.3672,99.7628043893914,645.956271631815,-0.001,0,0.0096328,0,0,-1
0.3888,99.7488517064145,645.956421451506,-0.001,0,0.0096112,0,0,-1
0.4104,99.7348990234375,645.956565293645,-0.001,0,0.0095896,0,0,-1
0.432,99.7209463404605,645.956703158202,-0.001,0,0.009568,0,0,-1
0.4536,99.7069936574836,645.956835045153,-0.001,0,0.0095464,0,0,-1
0.4752,99.6930409745065,645.956960954469,-0.001,0,0.0095248,0,0,-1
0.4968,99.6790882915296,645.957080886127,-0.001,0,0.0095032,0,0,-1
0.5184,99.6651356085526,645.957194840099,-0.001,0,0.0094816,0,0,-1
0.54,99.6511829255757,645.957302816361,-0.001,0,0.00946,0,0,-1
0.5616,99.6372302425987,645.95740481489,-0.001,0,0.0094384,0,0,-1
0.5832,99.6232775596217,645.95750083566,-0.001,0,0.0094168,0,0,-1
0.6048,99.6093248766447,645.957590878648,-0.001,0,0.0093952,0,0,-1
0.6264,99.5953721936678,645.957674943832,-0.001,0,0.0093736,0,0,-1
0.648,99.5814195106908,645.957753031189,-0.001,0,0.009352,0,0,-1
0.6696,99.5674668277138,645.957825140695,-0.001,0,0.0093304,0,0,-1
0.6912,99.5535141447368,645.957891272332,-0.001,0,0.0093088,0,0,-1
0.7128,99.5395614617598,645.957951426074,-0.001,0,0.0092872,0,0,-1
0.7344,99.5256087787829,645.958005601904,-0.001,0,0.0092656,0,0,-1
0.756,99.5116560958059,645.958053799801,-0.001,0,0.009244,0,0,-1
0.7776,99.4977034128289,645.958096019743,-0.001,0,0.0092224,0,0,-1
0.7992,99.483750729852,645.958132261712,-0.001,0,0.0092008,0,0,-1
0.8208,99.469798046875,645.958162525691,-0.001,0,0.0091792,0,0,-1
0.8424,99.455845363898,645.958186811657,-0.001,0,0.0091576,0,0,-1
0.864,99.4418926809211,645.958205119595,-0.001,0,0.009136,0,0,-1
0.8856,99.4279399979441,645.958217449488,-0.001,0,0.0091144,0,0,-1
0.9072,99.4139873149671,645.958223801316,-0.001,0,0.0090928,0,0,-1
0.9288,99.4000346319902,645.958224175065,-0.001,0,0.0090712,0,0,-1
0.9504,99.3860819490131,645.958218570717,-0.001,0,0.0090496,0,0,-1
0.972,99.3721292660362,645.958206988257,-0.001,0,0.009028,0,0,-1
0.9936,99.3581765830592,645.958189427668,-0.001,0,0.0090064,0,0,-1
1.0152,99.3442239000822,645.958165888938,-0.001,0,0.0089848,0,0,-1
1.0368,99.3302712171052,645.958136372049,-0.001,0,0.0089632,0,0,-1
1.0584,99.3163185341283,645.958100876991,-0.001,0,0.0089416,0,0,-1
1.08,99.3023658511513,645.958059403749,-0.001,0,0.00892,0,0,-1
1.1016,99.2884131681744,645.958011952308,-0.001,0,0.0088984,0,0,-1
1.1232,99.2744604851973,645.957958522656,-0.001,0,0.0088768,0,0,-1
1.1448,99.2605078022204,645.957899114782,-0.001,0,0.0088552,0,0,-1
1.1664,99.2465551192434,645.957833728675,-0.001,0,0.0088336,0,0,-1
1.188,99.2326024313602,645.957623110108,-0.001,0,0.008812,0,0,-1
1.2096,99.218649549336,645.951754290577,-0.001,0,0.0087904,0,0,-1
1.2312,99.2046966925366,645.946317946164,-0.001,0,0.0087688,0,0,-1
1.2528,99.1907438609622,645.941314066792,-0.001,0,0.0087472,0,0,-1
1.2744,99.1767910546127,645.936742643309,-0.001,0,0.0087256,0,0,-1
1.296,99.1628382734882,645.932603667513,-0.001,0,0.008704,0,0,-1
1.3176,99.1488855175885,645.928897132127,-0.001,0,0.0086824,0,0,-1
1.3392,99.1349327869138,645.925623030822,-0.001,0,0.0086608,0,0,-1
1.3608,99.120980081464,645.922781358197,-0.001,0,0.0086392,0,0,-1
