"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,1,-0.001,0,0.01,0,0,-1,7.16695208989725
0.0216,0.999845193834858,-0.001,0,0.0099784,0,0,-1,7.16695208989725
0.0432,0.999690387669716,-0.001,0,0.0099568,0,0,-1,7.16695208989725
0.0648,0.999535581504575,-0.001,0,0.0099352,0,0,-1,7.16695208989725
0.0864,0.999380775339433,-0.001,0,0.0099136,0,0,-1,7.16695208989725
0.108,0.999225969174291,-0.001,0,0.009892,0,0,-1,7.16695208989725
0.1296,0.999071163009149,-0.001,0,0.0098704,0,0,-1,7.16695208989725
0.1512,0.998916356844008,-0.001,0,0.0098488,0,0,-1,7.16695208989725
0.1728,0.998761550678866,-0.001,0,0.0098272,0,0,-1,7.16695208989725
0.1944,0.998606744513724,-0.001,0,0.0098056,0,0,-1,7.16695208989725
0.216,0.998451938348582,-0.001,0,0.009784,0,0,-1,7.16695208989725
0.2376,0.998297132183441,-0.001,0,0.0097624,0,0,-1,7.16695208989725
0.2592,0.998142326018299,-0.001,0,0.0097408,0,0,-1,7.16695208989725
0.2808,0.997987519853157,-0.001,0,0.0097192,0,0,-1,7.16695208989725
0.3024,0.997832713688015,-0.001,0,0.0096976,0,0,-1,7.16695208989725
0.324,0.997677907522874,-0.001,0,0.009676,0,0,-1,7.16695208989725
0.3456,0.997523101692302,-0.001,0,0.0096544,0,0,-1,7.16692500796961
0.3672,0.99736829611213,-0.001,0,0.0096328,0,0,-1,7.16692500796962
0.3888,0.997213490531958,-0.001,0,0.0096112,0,0,-1,7.16692500796962
0.4104,0.997058684951785,-0.001,0,0.0095896,0,0,-1,7.16692500796961
0.432,0.996903879371613,-0.001,0,0.009568,0,0,-1,7.16692500796961
0.4536,0.996749073791441,-0.001,0,0.0095464,0,0,-1,7.16692500796962
0.4752,0.996594268211269,-0.001,0,0.0095248,0,0,-1,7.16692500796962
0.4968,0.996439462631097,-0.001,0,0.0095032,0,0,-1,7.16692500796962
0.5184,0.996284657050924,-0.001,0,0.0094816,0,0,-1,7.16692500796961
0.54,0.996129851470752,-0.001,0,0.00946,0,0,-1,7.16692500796962
0.5616,0.99597504589058,-0.001,0,0.0094384,0,0,-1,7.16692500796961
