"Distance [mm]","Voltage [V]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
0,30,-0.001,0,0.01,0,0,-1,215.010709026468
0.0216,29.995355768685,-0.001,0,0.0099784,0,0,-1,215.010709026468
0.0432,29.9907115373701,-0.001,0,0.0099568,0,0,-1,215.010709026468
0.0648,29.9860673060551,-0.001,0,0.0099352,0,0,-1,215.010709026468
0.0864,29.9814230747401,-0.001,0,0.0099136,0,0,-1,215.010709026468
0.108,29.9767788434252,-0.001,0,0.009892,0,0,-1,215.010709026468
0.1296,29.9721346121102,-0.001,0,0.0098704,0,0,-1,215.010709026468
0.1512,29.9674903807952,-0.001,0,0.0098488,0,0,-1,215.010709026468
0.1728,29.9628461494802,-0.001,0,0.0098272,0,0,-1,215.010709026468
0.1944,29.9582019181653,-0.001,0,0.0098056,0,0,-1,215.010709026468
0.216,29.9535576868503,-0.001,0,0.009784,0,0,-1,215.010709026468
0.2376,29.9489134555353,-0.001,0,0.0097624,0,0,-1,215.010709026468
0.2592,29.9442692242203,-0.001,0,0.0097408,0,0,-1,215.010709026468
0.2808,29.9396249929054,-0.001,0,0.0097192,0,0,-1,215.010709026468
0.3024,29.9349807615904,-0.001,0,0.0096976,0,0,-1,215.010709026468
0.324,29.9303365302754,-0.001,0,0.009676,0,0,-1,215.010709026468
0.3456,29.9256925740128,-0.001,0,0.0096544,0,0,-1,214.989048302834
0.3672,29.9210487877773,-0.001,0,0.0096328,0,0,-1,214.991158694321
0.3888,29.9164049559572,-0.001,0,0.0096112,0,0,-1,214.993269085808
0.4104,29.9117610785528,-0.001,0,0.0095896,0,0,-1,214.995379477296
0.432,29.9071171555638,-0.001,0,0.009568,0,0,-1,214.997489868783
0.4536,29.9024731869904,-0.001,0,0.0095464,0,0,-1,214.99960026027
0.4752,29.8978291728326,-0.001,0,0.0095248,0,0,-1,215.001710651758
0.4968,29.8931851130903,-0.001,0,0.0095032,0,0,-1,215.003821043245
0.5184,29.8885410077635,-0.001,0,0.0094816,0,0,-1,215.005931434732
0.54,29.8838968568523,-0.001,0,0.00946,0,0,-1,215.00804182622
0.5616,29.8792526603566,-0.001,0,0.0094384,0,0,-1,215.010152217707
0.5832,29.8746084182765,-0.001,0,0.0094168,0,0,-1,215.012262609194
0.6048,29.8699641306119,-0.001,0,0.0093952,0,0,-1,215.014373000681
0.6264,29.8653197973629,-0.001,0,0.0093736,0,0,-1,215.016483392169
0.648,29.8606754185294,-0.001,0,0.009352,0,0,-1,215.018593783656
0.6696,29.8560309941114,-0.001,0,0.0093304,0,0,-1,215.020704175143
0.6912,29.851386524109,-0.001,0,0.0093088,0,0,-1,215.022814566631
0.7128,29.8467420085221,-0.001,0,0.0092872,0,0,-1,215.024924958118
0.7344,29.8420977162587,-0.001,0,0.0092656,0,0,-1,214.981992564706
0.756,29.8374540791455,-0.001,0,0.009244,0,0,-1,214.984406807175
0.7776,29.8328103898846,-0.001,0,0.0092224,0,0,-1,214.986821049643
0.7992,29.8281666484762,-0.001,0,0.0092008,0,0,-1,214.989235292111
0.8208,29.82352285492,-0.001,0,0.0091792,0,0,-1,214.991649534579
0.8424,29.8188790092163,-0.001,0,0.0091576,0,0,-1,214.994063777048
0.864,29.8142351113649,-0.001,0,0.009136,0,0,-1,214.996478019516
0.8856,29.8095911613658,-0.001,0,0.0091144,0,0,-1,214.998892261984
0.9072,29.8049471592191,-0.001,0,0.0090928,0,0,-1,215.001306504452
0.9288,29.8003031049248,-0.001,0,0.0090712,0,0,-1,215.00372074692
0.9504,29.7956589984829,-0.001,0,0.0090496,0,0,-1,215.006134989389
0.972,29.7910148398933,-0.001,0,0.009028,0,0,-1,215.008549231857
0.9936,29.7863706291561,-0.001,0,0.0090064,0,0,-1,215.010963474325
1.0152,29.7817263662712,-0.001,0,0.0089848,0,0,-1,215.013377716793
1.0368,29.7770820512387,-0.001,0,0.0089632,0,0,-1,215.015791959262
1.0584,29.7724376840586,-0.001,0,0.0089416,0,0,-1,215.01820620173
1.08,29.7677932647308,-0.001,0,0.00892,0,0,-1,215.020620444198
1.1016,29.7631487932554,-0.001,0,0.0088984,0,0,-1,215.023034686666
1.1232,29.7585042696323,-0.001,0,0.0088768,0,0,-1,215.025448929135
1.1448,29.7538596938616,-0.001,0,0.0088552,0,0,-1,215.027863171603
1.1664,29.7492150659433,-0.001,0,0.0088336,0,0,-1,215.030277414071
1.188,29.7445704819334,-0.001,0,0.008812,0,0,-1,215.018601990173
1.2096,29.7399260835706,-0.001,0,0.0087904,0,0,-1,215.018283456679
1.2312,29.7352816920881,-0.001,0,0.0087688,0,0,-1,215.017964923186
1.2528,29.7306373074859,-0.001,0,0.0087472,0,0,-1,215.017646389692
