Raw Signal,Light-Off Signal,Difference,Voltage
338,38,300,1.46484375
338,38,300,1.46484375
339,38,301,1.469726563
339,37,302,1.474609375
338,37,301,1.469726563
338,39,299,1.459960938
342,38,304,1.484375
338,39,299,1.459960938
340,39,301,1.469726563
340,38,302,1.474609375
336,38,298,1.455078125
339,39,300,1.46484375
338,39,299,1.459960938
338,38,300,1.46484375
337,37,300,1.46484375
338,38,300,1.46484375
339,39,300,1.46484375
336,38,298,1.455078125
336,38,298,1.455078125
338,39,299,1.459960938
342,39,303,1.479492188
358,38,320,1.5625
376,37,339,1.655273438
402,37,365,1.782226563
424,36,388,1.89453125
440,36,404,1.97265625
449,39,410,2.001953125
453,39,414,2.021484375
453,37,416,2.03125
450,36,414,2.021484375
448,37,411,2.006835938
439,37,402,1.962890625
432,38,394,1.923828125
426,38,388,1.89453125
418,38,380,1.85546875
409,38,371,1.811523438
402,39,363,1.772460938
393,38,355,1.733398438
384,38,346,1.689453125
373,38,335,1.635742188
367,38,329,1.606445313
359,39,320,1.5625
349,39,310,1.513671875
340,37,303,1.479492188
331,39,292,1.42578125
323,38,285,1.391601563
318,38,280,1.3671875
309,41,268,1.30859375
304,38,266,1.298828125
294,38,256,1.25
285,39,246,1.201171875
270,39,231,1.127929688
251,39,212,1.03515625
242,39,203,0.991210938
230,39,191,0.932617188
223,40,183,0.893554688
218,40,178,0.869140625
218,39,179,0.874023438
215,39,176,0.859375
211,39,172,0.83984375
209,39,170,0.830078125
203,39,164,0.80078125
199,39,160,0.78125
192,43,149,0.727539063
188,40,148,0.72265625
182,40,142,0.693359375
179,40,139,0.678710938
175,40,135,0.659179688
175,40,135,0.659179688
166,41,125,0.610351563
164,40,124,0.60546875
161,41,120,0.5859375
158,40,118,0.576171875
155,41,114,0.556640625
153,40,113,0.551757813
151,40,111,0.541992188
147,41,106,0.517578125
145,41,104,0.5078125
141,41,100,0.48828125
139,41,98,0.478515625
140,41,99,0.483398438
137,40,97,0.473632813
137,41,96,0.46875
135,40,95,0.463867188
133,41,92,0.44921875
132,40,92,0.44921875
130,40,90,0.439453125
130,40,90,0.439453125
128,40,88,0.4296875
127,40,87,0.424804688
126,41,85,0.415039063
126,41,85,0.415039063
126,40,86,0.419921875
122,44,78,0.380859375
117,41,76,0.37109375
112,42,70,0.341796875
112,44,68,0.33203125
112,41,71,0.346679688
111,41,70,0.341796875
111,43,68,0.33203125
111,41,70,0.341796875
114,41,73,0.356445313
109,40,69,0.336914063
110,40,70,0.341796875
110,41,69,0.336914063
111,42,69,0.336914063
108,41,67,0.327148438
108,41,67,0.327148438
108,42,66,0.322265625
107,40,67,0.327148438
107,41,66,0.322265625
107,40,67,0.327148438
106,41,65,0.317382813
105,41,64,0.3125
105,41,64,0.3125
105,40,65,0.317382813
105,41,64,0.3125
104,42,62,0.302734375
106,42,64,0.3125
105,43,62,0.302734375
105,41,64,0.3125
104,43,61,0.297851563
106,41,65,0.317382813
106,41,65,0.317382813
105,43,62,0.302734375
105,43,62,0.302734375
104,41,63,0.307617188
105,40,65,0.317382813
106,40,66,0.322265625
106,39,67,0.327148438
108,40,68,0.33203125
111,39,72,0.3515625
113,40,73,0.356445313
116,40,76,0.37109375
120,39,81,0.395507813
123,40,83,0.405273438
125,39,86,0.419921875
128,39,89,0.434570313
134,40,94,0.458984375
138,40,98,0.478515625
143,40,103,0.502929688
150,40,110,0.537109375
159,39,120,0.5859375
169,40,129,0.629882813
176,40,136,0.6640625
187,39,148,0.72265625
198,39,159,0.776367188
212,39,173,0.844726563
228,38,190,0.927734375
235,37,198,0.966796875
242,37,205,1.000976563
249,38,211,1.030273438
255,39,216,1.0546875
262,38,224,1.09375
267,38,229,1.118164063
273,37,236,1.15234375
281,37,244,1.19140625
288,37,251,1.225585938
295,37,258,1.259765625
302,36,266,1.298828125
310,36,274,1.337890625
322,36,286,1.396484375
328,35,293,1.430664063
334,37,297,1.450195313
338,36,302,1.474609375
344,36,308,1.50390625
352,36,316,1.54296875
358,36,322,1.572265625
366,37,329,1.606445313
371,40,331,1.616210938
372,37,335,1.635742188
372,37,335,1.635742188
373,37,336,1.640625
375,37,338,1.650390625
374,37,337,1.645507813
376,39,337,1.645507813
376,38,338,1.650390625
375,37,338,1.650390625
373,36,337,1.645507813
373,37,336,1.640625
377,38,339,1.655273438
376,37,339,1.655273438
372,37,335,1.635742188
372,36,336,1.640625
370,37,333,1.625976563
373,37,336,1.640625
371,36,335,1.635742188
372,36,336,1.640625
375,36,339,1.655273438
391,36,355,1.733398438
405,39,366,1.787109375
411,37,374,1.826171875
416,37,379,1.850585938
416,37,379,1.850585938
416,38,378,1.845703125
411,38,373,1.821289063
407,38,369,1.801757813
404,36,368,1.796875
395,38,357,1.743164063
389,37,352,1.71875
385,38,347,1.694335938
379,38,341,1.665039063
371,39,332,1.62109375
364,37,327,1.596679688
358,38,320,1.5625
356,37,319,1.557617188
349,38,311,1.518554688
341,38,303,1.479492188
335,37,298,1.455078125
330,38,292,1.42578125
321,38,283,1.381835938
316,38,278,1.357421875
311,38,273,1.333007813
306,38,268,1.30859375
300,38,262,1.279296875
292,38,254,1.240234375
287,39,248,1.2109375
273,39,234,1.142578125
262,38,224,1.09375
252,38,214,1.044921875
245,40,205,1.000976563
238,42,196,0.95703125
231,40,191,0.932617188
224,39,185,0.903320313
219,38,181,0.883789063
216,38,178,0.869140625
210,38,172,0.83984375
203,38,165,0.805664063
194,38,156,0.76171875
189,38,151,0.737304688
182,37,145,0.708007813
163,37,126,0.615234375
145,38,107,0.522460938
139,37,102,0.498046875
133,40,93,0.454101563
132,39,93,0.454101563
131,38,93,0.454101563
128,38,90,0.439453125
127,42,85,0.415039063
127,40,87,0.424804688
128,39,89,0.434570313
126,39,87,0.424804688
123,39,84,0.41015625
122,39,83,0.405273438
122,39,83,0.405273438
121,39,82,0.400390625
120,39,81,0.395507813
119,39,80,0.390625
118,39,79,0.385742188
118,39,79,0.385742188
115,39,76,0.37109375
115,40,75,0.366210938
115,39,76,0.37109375
112,41,71,0.346679688
112,39,73,0.356445313
113,39,74,0.361328125
111,41,70,0.341796875
111,39,72,0.3515625
114,39,75,0.366210938
110,38,72,0.3515625
110,39,71,0.346679688
112,39,73,0.356445313
110,39,71,0.346679688
109,39,70,0.341796875
109,39,70,0.341796875
108,39,69,0.336914063
107,38,69,0.336914063
107,40,67,0.327148438
105,39,66,0.322265625
107,40,67,0.327148438
107,40,67,0.327148438
104,39,65,0.317382813
104,40,64,0.3125
103,39,64,0.3125
104,39,65,0.317382813
103,39,64,0.3125
104,39,65,0.317382813
102,38,64,0.3125
101,39,62,0.302734375
101,39,62,0.302734375
100,39,61,0.297851563
99,40,59,0.288085938
102,38,64,0.3125
101,38,63,0.307617188
102,38,64,0.3125
102,39,63,0.307617188
101,39,62,0.302734375
103,38,65,0.317382813
104,37,67,0.327148438
107,38,69,0.336914063
109,37,72,0.3515625
110,39,71,0.346679688
113,38,75,0.366210938
116,38,78,0.380859375
115,39,76,0.37109375
120,38,82,0.400390625
123,38,85,0.415039063
126,39,87,0.424804688
126,37,89,0.434570313
132,37,95,0.463867188
138,37,101,0.493164063
144,38,106,0.517578125
156,38,118,0.576171875
163,37,126,0.615234375
174,37,137,0.668945313
186,39,147,0.717773438
204,36,168,0.8203125
224,35,189,0.922851563
239,36,203,0.991210938
244,36,208,1.015625
251,36,215,1.049804688
257,36,221,1.079101563
259,38,221,1.079101563
267,36,231,1.127929688
271,35,236,1.15234375
277,35,242,1.181640625
285,35,250,1.220703125
290,36,254,1.240234375
299,36,263,1.284179688
304,36,268,1.30859375
312,36,276,1.34765625
324,35,289,1.411132813
329,35,294,1.435546875
336,35,301,1.469726563
344,35,309,1.508789063
353,35,318,1.552734375
356,35,321,1.567382813
362,34,328,1.6015625
368,34,334,1.630859375
371,34,337,1.645507813
373,34,339,1.655273438
372,34,338,1.650390625
375,34,341,1.665039063
377,35,342,1.669921875
377,35,342,1.669921875
378,34,344,1.6796875
378,34,344,1.6796875
378,34,344,1.6796875
379,34,345,1.684570313
381,34,347,1.694335938
376,34,342,1.669921875
377,35,342,1.669921875
376,34,342,1.669921875
374,35,339,1.655273438
375,34,341,1.665039063
375,35,340,1.66015625
378,34,344,1.6796875
376,33,343,1.674804688
375,34,341,1.665039063
376,35,341,1.665039063
375,34,341,1.665039063
376,34,342,1.669921875
377,34,343,1.674804688
375,35,340,1.66015625
374,35,339,1.655273438
374,35,339,1.655273438
372,35,337,1.645507813
372,34,338,1.650390625
373,35,338,1.650390625
371,35,336,1.640625
371,34,337,1.645507813
369,35,334,1.630859375
369,34,335,1.635742188
371,33,338,1.650390625
369,34,335,1.635742188
368,37,331,1.616210938
369,37,332,1.62109375
367,35,332,1.62109375
368,35,333,1.625976563
368,36,332,1.62109375
369,34,335,1.635742188
366,33,333,1.625976563
378,34,344,1.6796875
398,36,362,1.767578125
409,37,372,1.81640625
414,35,379,1.850585938
420,35,385,1.879882813
422,34,388,1.89453125
417,34,383,1.870117188
417,35,382,1.865234375
410,36,374,1.826171875
402,36,366,1.787109375
393,35,358,1.748046875
392,35,357,1.743164063
389,35,354,1.728515625
380,35,345,1.684570313
374,36,338,1.650390625
366,36,330,1.611328125
362,36,326,1.591796875
356,36,320,1.5625
350,35,315,1.538085938
346,36,310,1.513671875
342,36,306,1.494140625
335,36,299,1.459960938
332,36,296,1.4453125
324,37,287,1.401367188
316,38,278,1.357421875
309,36,273,1.333007813
304,36,268,1.30859375
298,36,262,1.279296875
294,35,259,1.264648438
286,35,251,1.225585938
280,35,245,1.196289063
274,36,238,1.162109375
254,36,218,1.064453125
243,36,207,1.010742188
232,40,192,0.9375
224,36,188,0.91796875
216,36,180,0.87890625
209,38,171,0.834960938
200,37,163,0.795898438
196,37,159,0.776367188
189,37,152,0.7421875
187,39,148,0.72265625
180,36,144,0.703125
176,37,139,0.678710938
172,37,135,0.659179688
168,37,131,0.639648438
164,37,127,0.620117188
159,37,122,0.595703125
156,37,119,0.581054688
154,38,116,0.56640625
135,38,97,0.473632813
124,37,87,0.424804688
123,38,85,0.415039063
120,37,83,0.405273438
113,37,76,0.37109375
111,37,74,0.361328125
111,37,74,0.361328125
108,37,71,0.346679688
105,38,67,0.327148438
104,37,67,0.327148438
103,40,63,0.307617188
103,38,65,0.317382813
102,39,63,0.307617188
101,37,64,0.3125
102,37,65,0.317382813
103,37,66,0.322265625
101,37,64,0.3125
100,37,63,0.307617188
99,37,62,0.302734375
100,37,63,0.307617188
98,37,61,0.297851563
99,37,62,0.302734375
99,37,62,0.302734375
96,37,59,0.288085938
99,37,62,0.302734375
97,37,60,0.29296875
96,38,58,0.283203125
95,37,58,0.283203125
96,37,59,0.288085938
95,36,59,0.288085938
95,37,58,0.283203125
96,37,59,0.288085938
95,38,57,0.278320313
95,37,58,0.283203125
95,40,55,0.268554688
95,37,58,0.283203125
95,37,58,0.283203125
93,40,53,0.258789063
95,37,58,0.283203125
95,37,58,0.283203125
95,39,56,0.2734375
94,36,58,0.283203125
93,37,56,0.2734375
93,37,56,0.2734375
93,37,56,0.2734375
